cancion,cantante,año,duracion_minutos,album,explicito
Starboy,The Weeknd,2016,3.840883333333333,Starboy,True
Sweater Weather,The Neighbourhood,2013,4.006666666666667,I Love You.,False
See You Again (feat. Kali Uchis),"Tyler, The Creator",2017,3.0064333333333333,Flower Boy,True
Lover,Taylor Swift,2019,3.6884333333333332,Lover,False
Another Love,Tom Odell,2013,4.072666666666667,Long Way Down (Deluxe),True
Apocalypse,Cigarettes After Sex,2017,4.8436,Cigarettes After Sex,False
Pink + White,Frank Ocean,2016,3.075266666666667,Blonde,False
Locked out of Heaven,Bruno Mars,2012,3.8913,Unorthodox Jukebox,False
No Role Modelz,J. Cole,2014,4.879983333333334,2014 Forest Hills Drive,True
Someone You Loved,Lewis Capaldi,2019,3.036,Divinely Uninspired To A Hellish Extent,False
One Dance,Drake,2016,2.899766666666667,Views,False
lovely (with Khalid),Billie Eilish,2018,3.3364166666666666,lovely (with Khalid),False
Why'd You Only Call Me When You're High?,Arctic Monkeys,2013,2.6853833333333332,AM,False
Perfect,Ed Sheeran,2017,4.39,÷ (Deluxe),False
When I Was Your Man,Bruno Mars,2012,3.5637666666666665,Unorthodox Jukebox,False
Believer,Imagine Dragons,2017,3.4057666666666666,Evolve,False
Counting Stars,OneRepublic,2013,4.28775,Native,False
Do I Wanna Know?,Arctic Monkeys,2013,4.5399,AM,False
The Hills,The Weeknd,2015,4.03755,Beauty Behind The Madness,True
Sure Thing,Miguel,2010,3.2562166666666665,All I Want Is You,False
Night Changes,One Direction,2014,3.776666666666667,FOUR (Deluxe),False
goosebumps,Travis Scott,2016,4.063933333333333,Birds In The Trap Sing McKnight,True
Skyfall,Adele,2012,4.774666666666667,Skyfall,False
Wake Me Up,Avicii,2013,4.123766666666667,True,False
A Sky Full of Stars,Coldplay,2014,4.464433333333333,Ghost Stories,False
Shape of You,Ed Sheeran,2017,3.8952,÷ (Deluxe),False
Watermelon Sugar,Harry Styles,2019,2.9,Fine Line,False
Love The Way You Lie,Eminem,2010,4.38955,Recovery,True
There's Nothing Holdin' Me Back,Shawn Mendes,2017,3.324,Illuminate (Deluxe),False
Thunder,Imagine Dragons,2017,3.1191,Evolve,False
Call Out My Name,The Weeknd,2018,3.806216666666667,"My Dear Melancholy,",False
Circles,Post Malone,2019,3.588,Hollywood's Bleeding,False
Young And Beautiful,Lana Del Rey,2013,3.9342166666666665,Young And Beautiful,False
The Nights,Avicii,2014,2.9443,The Days / Nights,False
Let Me Love You,DJ Snake,2016,3.4324333333333334,Encore,False
The Less I Know The Better,Tame Impala,2015,3.6053333333333333,Currents,True
Stressed Out,Twenty One Pilots,2015,3.3722166666666666,Blurryface,False
Daddy Issues,The Neighbourhood,2015,4.336216666666667,Wiped Out!,False
Look What You Made Me Do,Taylor Swift,2017,3.530883333333333,reputation,False
Just the Way You Are,Bruno Mars,2010,3.6789,Doo-Wops & Hooligans,False
Love On The Brain,Rihanna,2016,3.7333333333333334,ANTI (Deluxe),True
Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,2019,2.626,Hollywood's Bleeding,False
Unforgettable,French Montana,2017,3.89835,Jungle Rules,True
All The Stars (with SZA),Kendrick Lamar,2018,3.8697666666666666,Black Panther The Album Music From And Inspired By,True
All of Me,John Legend,2013,4.492666666666667,Love In The Future (Expanded Edition),False
Maps,Maroon 5,2014,3.166,V,False
Too Good At Goodbyes,Sam Smith,2017,3.35,The Thrill Of It All (Special Edition),False
Treat You Better,Shawn Mendes,2017,3.1328833333333335,Illuminate,False
Let Me Down Slowly,Alec Benjamin,2018,2.82255,Narrated For You,False
God's Plan,Drake,2018,3.3162166666666666,Scorpion,True
SICKO MODE,Travis Scott,2018,5.213666666666667,ASTROWORLD,True
Before You Go,Lewis Capaldi,2019,3.5851,Divinely Uninspired To A Hellish Extent (Extended Edition),False
Stay With Me,Sam Smith,2014,2.8787166666666666,In The Lonely Hour,False
Happier,Marshmello,2018,3.571483333333333,Happier,False
7 Years,Lukas Graham,2016,3.955,Lukas Graham,False
Passionfruit,Drake,2017,4.982333333333333,More Life,True
Bad Romance,Lady Gaga,2009,4.90955,The Fame Monster (Deluxe Edition),True
Lucid Dreams,Juice WRLD,2018,3.99725,Goodbye & Good Riddance,True
Photograph,Ed Sheeran,2014,4.316433333333333,x (Deluxe Edition),False
Memories,Maroon 5,2021,3.1581,JORDI (Deluxe),False
7 rings,Ariana Grande,2019,2.9771,"thank u, next",True
I'm Not The Only One,Sam Smith,2014,3.9886,In The Lonely Hour,False
LOVE. FEAT. ZACARI.,Kendrick Lamar,2017,3.5566666666666666,DAMN.,True
Can't Feel My Face,The Weeknd,2015,3.558666666666667,Beauty Behind The Madness,False
when the party's over,Billie Eilish,2019,3.26795,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",False
Paradise,Coldplay,2011,4.645316666666667,Mylo Xyloto,False
Closer,The Chainsmokers,2016,4.082666666666666,Closer,False
One Kiss (with Dua Lipa),Calvin Harris,2018,3.580766666666667,One Kiss (with Dua Lipa),False
Only Girl (In The World),Rihanna,2010,3.9248833333333333,Loud (Japan Version),False
Wet Dreamz,J. Cole,2014,3.9877666666666665,2014 Forest Hills Drive,True
Love Yourself,Justin Bieber,2015,3.8953333333333333,Purpose (Deluxe),False
Ni**as In Paris,JAY-Z,2011,3.65555,Watch The Throne,True
"Give Me Everything (feat. Ne-Yo, Afrojack & Nayer)",Pitbull,2011,4.2051,Planet Pit (Deluxe Version),False
Safe And Sound,Capital Cities,2013,3.21315,In A Tidal Wave Of Mystery (Deluxe Edition),False
What Makes You Beautiful,One Direction,2012,3.3331,Up All Night,False
Pumped Up Kicks,Foster The People,2011,3.993333333333333,Torches,False
Hymn for the Weekend,Coldplay,2015,4.304433333333333,A Head Full of Dreams,False
Shut Up and Dance,WALK THE MOON,2014,3.318,TALKING IS HARD,False
Drip Too Hard (Lil Baby & Gunna),Lil Baby,2018,2.4257,Drip Harder,True
Lost,Frank Ocean,2012,3.90155,channel ORANGE,True
LA CANCIÓN,J Balvin,2019,4.042883333333333,OASIS,False
Don't,Bryson Tiller,2015,3.304883333333333,T R A P S O U L,True
Sorry,Justin Bieber,2015,3.346433333333333,Purpose (Deluxe),False
Attention,Charlie Puth,2018,3.4797666666666665,Voicenotes,False
One Last Time,Ariana Grande,2014,3.2877666666666667,My Everything (Deluxe),False
rockstar (feat. 21 Savage),Post Malone,2018,3.6357666666666666,beerbongs & bentleys,True
TiK ToK,Kesha,2010,3.3282166666666666,Animal (Expanded Edition),False
Uptown Funk (feat. Bruno Mars),Mark Ronson,2015,4.494433333333333,Uptown Special,True
Redbone,Childish Gambino,2016,5.448883333333334,"""Awaken, My Love!""",True
This Is What You Came For,Calvin Harris,2016,3.7026666666666666,This Is What You Came For,False
Lost in the Fire (feat. The Weeknd),Gesaffelstein,2019,3.3682166666666666,Hyperion,True
Sign of the Times,Harry Styles,2017,5.678433333333333,Harry Styles,False
I Don’t Wanna Live Forever (Fifty Shades Darker),ZAYN,2017,4.1193333333333335,reputation Stadium Tour Surprise Song Playlist,False
See You Again (feat. Charlie Puth),Wiz Khalifa,2015,3.8254166666666665,See You Again (feat. Charlie Puth),False
Talking to the Moon,Bruno Mars,2010,3.6311,Doo-Wops & Hooligans,False
Outside (feat. Ellie Goulding),Calvin Harris,2014,3.7877666666666667,Motion,False
Story of My Life,One Direction,2013,4.09155,Midnight Memories (Deluxe),False
Beggin',Måneskin,2017,3.526,Chosen,False
Riptide,Vance Joy,2014,3.4046666666666665,Dream Your Life Away (Special Edition),False
Thinking out Loud,Ed Sheeran,2014,4.692666666666667,x (Deluxe Edition),False
